,episode,steps,reward,alpha,gamma,epsilon,time,info
1,81,64,-1452,0,0,0.01,1:42:16,{'message': 'outside_geofence'}
0,82,40,-1243,0,0,0.01,1:42:32,{'message': 'outside_geofence'}
1,83,61,-1426,0,0,0.01,1:42:57,{'message': 'outside_geofence'}
0,84,40,-1187,0,0,0.01,1:43:14,{'message': 'outside_geofence'}
1,85,48,-1223,0,0,0.01,1:43:33,{'message': 'outside_geofence'}
0,86,42,-1114,0,0,0.01,1:43:51,{'message': 'outside_geofence'}
1,87,49,-1264,0,0,0.01,1:44:11,{'message': 'outside_geofence'}
0,88,86,-1566,0,0,0.01,1:44:44,{'message': 'outside_geofence'}
1,89,104,-2160,0,0,0.01,1:45:25,{'message': 'outside_geofence'}
0,90,48,-1338,0,0,0.01,1:45:46,{'message': 'outside_geofence'}
1,91,280,-4243,0,0,0.01,1:47:30,{'message': 'outside_geofence'}
0,92,102,-1891,0,0,0.01,1:48:12,{'message': 'outside_geofence'}
1,93,1000,-12899,0,0,0.01,1:54:32,{'TimeLimit.truncated': True}
0,94,203,-3071,0,0,0.01,1:55:52,{'message': 'outside_geofence'}
1,95,107,-2103,0,0,0.01,1:56:34,{'message': 'outside_geofence'}
0,96,1000,-13185,0,0,0.01,2:02:51,{'TimeLimit.truncated': True}
1,97,441,-5949,0,0,0.01,2:05:38,{'message': 'outside_geofence'}
0,98,1000,-5368,0,0,0.01,2:12:06,{'TimeLimit.truncated': True}
1,99,1000,-4401,0,0,0.01,2:18:34,{'TimeLimit.truncated': True}
0,100,1000,-8077,0,0,0.01,2:25:00,{'TimeLimit.truncated': True}
1,101,320,-3954,0,0,0.01,2:27:06,{'message': 'outside_geofence'}
0,102,302,-3659,0,0,0.01,2:29:04,{'message': 'outside_geofence'}
1,103,175,-2483,0,0,0.01,2:30:17,{'message': 'outside_geofence'}
0,104,712,-6850,0,0,0.01,2:34:51,{'message': 'outside_geofence'}
1,105,802,-6295,0,0,0.01,2:39:57,{'message': 'outside_geofence'}
0,106,1000,-3525,0,0,0.01,2:46:21,{'TimeLimit.truncated': True}
1,107,1000,-8301,0,0,0.01,2:52:46,{'TimeLimit.truncated': True}
0,108,1000,-8171,0,0,0.01,2:59:11,{'TimeLimit.truncated': True}
1,109,1000,-8634,0,0,0.01,3:05:36,{'TimeLimit.truncated': True}
0,110,1000,-8417,0,0,0.01,3:11:57,{'TimeLimit.truncated': True}
1,111,949,-8914,0,0,0.01,3:18:07,{'message': 'outside_geofence'}
0,112,1000,-8652,0,0,0.01,3:24:36,{'TimeLimit.truncated': True}
1,113,1000,-9380,0,0,0.01,3:31:02,{'TimeLimit.truncated': True}
0,114,1000,-9002,0,0,0.01,3:37:26,{'TimeLimit.truncated': True}
1,115,347,-3760,0,0,0.01,3:39:38,{'message': 'outside_geofence'}
0,116,179,-2357,0,0,0.01,3:40:48,{'message': 'outside_geofence'}
1,117,1000,-7309,0,0,0.01,3:47:10,{'TimeLimit.truncated': True}
0,118,476,-4824,0,0,0.01,3:50:15,{'message': 'outside_geofence'}
1,119,209,-2491,0,0,0.01,3:51:36,{'message': 'outside_geofence'}
0,120,541,-5453,0,0,0.01,3:55:06,{'message': 'outside_geofence'}
1,121,32,-992,0,0,0.01,3:55:21,{'message': 'outside_geofence'}
0,122,58,-1245,0,0,0.01,3:55:46,{'message': 'outside_geofence'}
1,123,150,-2033,0,0,0.01,3:56:46,{'message': 'outside_geofence'}
0,124,116,-1639,0,0,0.01,3:57:32,{'message': 'outside_geofence'}
1,125,78,-1338,0,0,0.01,3:58:05,{'message': 'outside_geofence'}
0,126,154,-1881,0,0,0.01,3:59:07,{'message': 'outside_geofence'}
1,127,479,-4299,0,0,0.01,4:02:11,{'message': 'outside_geofence'}
0,128,780,-5832,0,0,0.01,4:07:08,{'message': 'outside_geofence'}
1,129,148,-1715,0,0,0.01,4:08:06,{'message': 'outside_geofence'}
0,130,28,-1032,0,0,0.01,4:08:19,{'message': 'outside_geofence'}
1,131,30,-1004,0,0,0.01,4:08:32,{'message': 'outside_geofence'}
0,132,216,-2108,0,0,0.01,4:09:57,{'message': 'outside_geofence'}
1,133,616,-4182,0,0,0.01,4:13:52,{'message': 'outside_geofence'}
0,134,32,-1075,0,0,0.01,4:14:07,{'message': 'outside_geofence'}
1,135,314,-2508,0,0,0.01,4:16:11,{'message': 'outside_geofence'}
0,136,366,-2725,0,0,0.01,4:18:35,{'message': 'outside_geofence'}
1,137,1000,-3725,0,0,0.01,4:25:02,{'TimeLimit.truncated': True}
0,138,1000,-4224,0,0,0.01,4:31:31,{'TimeLimit.truncated': True}
1,139,1000,-4090,0,0,0.01,4:37:56,{'TimeLimit.truncated': True}
0,140,1000,-4059,0,0,0.01,4:44:17,{'TimeLimit.truncated': True}
1,141,1000,-4097,0,0,0.01,4:50:40,{'TimeLimit.truncated': True}
0,142,1000,-3639,0,0,0.01,4:56:59,{'TimeLimit.truncated': True}
1,143,1000,-3164,0,0,0.01,5:03:23,{'TimeLimit.truncated': True}
0,144,1000,-2953,0,0,0.01,5:09:46,{'TimeLimit.truncated': True}
1,145,1000,-3275,0,0,0.01,5:16:15,{'TimeLimit.truncated': True}
0,146,1000,-3058,0,0,0.01,5:22:45,{'TimeLimit.truncated': True}
1,147,18,1102,0,0,0.01,5:22:54,{'message': 'reached_goal'}
0,148,1000,-2657,0,0,0.01,5:29:22,{'TimeLimit.truncated': True}
1,149,70,-1050,0,0,0.01,5:29:51,{'message': 'outside_geofence'}
0,150,1000,-1759,0,0,0.01,5:36:15,{'TimeLimit.truncated': True}
1,151,1000,-1518,0,0,0.01,5:42:44,{'TimeLimit.truncated': True}
0,152,19,1108,0,0,0.01,5:42:53,{'message': 'reached_goal'}
1,153,18,1102,0,0,0.01,5:43:02,{'message': 'reached_goal'}
0,154,18,1102,0,0,0.01,5:43:12,{'message': 'reached_goal'}
1,155,19,1108,0,0,0.01,5:43:21,{'message': 'reached_goal'}
0,156,19,1108,0,0,0.01,5:43:31,{'message': 'reached_goal'}
1,157,335,524,0,0,0.01,5:45:40,{'message': 'reached_goal'}
0,158,18,1102,0,0,0.01,5:45:49,{'message': 'reached_goal'}
