,episode,steps,reward,alpha,gamma,epsilon,time,info
1,3183,40,-507,0.1,0.7,0.05,13:06:25,{'message': 'outside_geofence'}
0,3184,132,-720,0.1,0.7,0.05,13:07:07,{'message': 'outside_geofence'}
1,3185,227,-1190,0.1,0.7,0.05,13:08:17,{'message': 'outside_geofence'}
0,3186,37,-584,0.1,0.7,0.05,13:08:29,{'message': 'outside_geofence'}
1,3187,7,-512,0.1,0.7,0.05,13:08:32,{'message': 'outside_geofence'}
0,3188,13,-578,0.1,0.7,0.05,13:08:36,{'message': 'outside_geofence'}
1,3189,54,-643,0.1,0.7,0.05,13:08:53,{'message': 'outside_geofence'}
0,3190,26,-566,0.1,0.7,0.05,13:09:01,{'message': 'outside_geofence'}
1,3191,89,-552,0.1,0.7,0.05,13:09:29,{'message': 'outside_geofence'}
0,3192,53,-577,0.1,0.7,0.05,13:09:46,{'message': 'outside_geofence'}
1,3193,40,-554,0.1,0.7,0.05,13:09:59,{'message': 'outside_geofence'}
0,3194,47,-598,0.1,0.7,0.05,13:10:14,{'message': 'outside_geofence'}
1,3195,32,-580,0.1,0.7,0.05,13:10:24,{'message': 'outside_geofence'}
