,episode,steps,reward,alpha,gamma,epsilon,time,info
1,87,15,584,0,0,0.01,0:40:51,{'message': 'reached_goal'}
0,88,16,590,0,0,0.01,0:41:00,{'message': 'reached_goal'}
1,89,62,591,0,0,0.01,0:41:26,{'message': 'reached_goal'}
0,90,23,588,0,0,0.01,0:41:38,{'message': 'reached_goal'}
1,91,15,584,0,0,0.01,0:41:46,{'message': 'reached_goal'}
0,92,15,584,0,0,0.01,0:41:53,{'message': 'reached_goal'}
1,93,15,584,0,0,0.01,0:42:01,{'message': 'reached_goal'}
0,94,17,499,0,0,0.01,0:42:10,{'message': 'reached_goal'}
1,95,18,586,0,0,0.01,0:42:20,{'message': 'reached_goal'}
0,96,17,550,0,0,0.01,0:42:29,{'message': 'reached_goal'}
1,97,15,584,0,0,0.01,0:42:37,{'message': 'reached_goal'}
0,98,15,584,0,0,0.01,0:42:45,{'message': 'reached_goal'}
1,99,15,584,0,0,0.01,0:42:52,{'message': 'reached_goal'}
0,100,15,584,0,0,0.01,0:43:01,{'message': 'reached_goal'}
1,101,15,584,0,0,0.01,0:43:09,{'message': 'reached_goal'}
0,102,15,584,0,0,0.01,0:43:17,{'message': 'reached_goal'}
1,103,15,584,0,0,0.01,0:43:25,{'message': 'reached_goal'}
0,104,15,584,0,0,0.01,0:43:33,{'message': 'reached_goal'}
1,105,15,584,0,0,0.01,0:43:41,{'message': 'reached_goal'}
0,106,18,494,0,0,0.01,0:43:51,{'message': 'reached_goal'}
1,107,15,584,0,0,0.01,0:44:00,{'message': 'reached_goal'}
0,108,16,579,0,0,0.01,0:44:08,{'message': 'reached_goal'}
1,109,17,499,0,0,0.01,0:44:18,{'message': 'reached_goal'}
0,110,17,499,0,0,0.01,0:44:28,{'message': 'reached_goal'}
1,111,18,489,0,0,0.01,0:44:38,{'message': 'reached_goal'}
0,112,17,499,0,0,0.01,0:44:47,{'message': 'reached_goal'}
1,113,136,-1020,0,0,0.01,0:45:45,{'message': 'outside_geofence'}
0,114,17,499,0,0,0.01,0:45:54,{'message': 'reached_goal'}
1,115,17,499,0,0,0.01,0:46:03,{'message': 'reached_goal'}
0,116,17,499,0,0,0.01,0:46:13,{'message': 'reached_goal'}
1,117,17,499,0,0,0.01,0:46:22,{'message': 'reached_goal'}
0,118,17,499,0,0,0.01,0:46:31,{'message': 'reached_goal'}
1,119,18,511,0,0,0.01,0:46:41,{'message': 'reached_goal'}
0,120,18,489,0,0,0.01,0:46:50,{'message': 'reached_goal'}
1,121,17,499,0,0,0.01,0:46:59,{'message': 'reached_goal'}
0,122,138,48,0,0,0.01,0:47:58,{'message': 'reached_goal'}
1,123,17,499,0,0,0.01,0:48:08,{'message': 'reached_goal'}
0,124,17,488,0,0,0.01,0:48:17,{'message': 'reached_goal'}
1,125,18,500,0,0,0.01,0:48:28,{'message': 'reached_goal'}
0,126,17,499,0,0,0.01,0:48:37,{'message': 'reached_goal'}
1,127,17,499,0,0,0.01,0:48:46,{'message': 'reached_goal'}
0,128,17,499,0,0,0.01,0:48:54,{'message': 'reached_goal'}
1,129,15,584,0,0,0.01,0:49:02,{'message': 'reached_goal'}
0,130,17,499,0,0,0.01,0:49:10,{'message': 'reached_goal'}
1,131,15,584,0,0,0.01,0:49:18,{'message': 'reached_goal'}
0,132,276,-617,0,0,0.01,0:51:10,{'message': 'reached_goal'}
1,133,17,499,0,0,0.01,0:51:19,{'message': 'reached_goal'}
0,134,15,558,0,0,0.01,0:51:27,{'message': 'reached_goal'}
1,135,15,584,0,0,0.01,0:51:35,{'message': 'reached_goal'}
0,136,15,584,0,0,0.01,0:51:43,{'message': 'reached_goal'}
1,137,14,578,0,0,0.01,0:51:51,{'message': 'reached_goal'}
0,138,15,584,0,0,0.01,0:51:59,{'message': 'reached_goal'}
1,139,17,499,0,0,0.01,0:52:08,{'message': 'reached_goal'}
0,140,17,499,0,0,0.01,0:52:17,{'message': 'reached_goal'}
1,141,16,579,0,0,0.01,0:52:26,{'message': 'reached_goal'}
0,142,97,554,0,0,0.01,0:53:06,{'message': 'reached_goal'}
1,143,17,499,0,0,0.01,0:53:15,{'message': 'reached_goal'}
0,144,16,579,0,0,0.01,0:53:24,{'message': 'reached_goal'}
1,145,54,549,0,0,0.01,0:53:48,{'message': 'reached_goal'}
0,146,96,608,0,0,0.01,0:54:27,{'message': 'reached_goal'}
1,147,18,591,0,0,0.01,0:54:37,{'message': 'reached_goal'}
0,148,17,585,0,0,0.01,0:54:46,{'message': 'reached_goal'}
1,149,16,579,0,0,0.01,0:54:54,{'message': 'reached_goal'}
0,150,15,584,0,0,0.01,0:55:02,{'message': 'reached_goal'}
1,151,17,499,0,0,0.01,0:55:11,{'message': 'reached_goal'}
0,152,17,499,0,0,0.01,0:55:20,{'message': 'reached_goal'}
1,153,18,520,0,0,0.01,0:55:29,{'message': 'reached_goal'}
0,154,16,579,0,0,0.01,0:55:38,{'message': 'reached_goal'}
1,155,15,584,0,0,0.01,0:55:45,{'message': 'reached_goal'}
0,156,17,499,0,0,0.01,0:55:54,{'message': 'reached_goal'}
1,157,15,584,0,0,0.01,0:56:02,{'message': 'reached_goal'}
0,158,15,584,0,0,0.01,0:56:11,{'message': 'reached_goal'}
1,159,15,584,0,0,0.01,0:56:18,{'message': 'reached_goal'}
0,160,15,584,0,0,0.01,0:56:27,{'message': 'reached_goal'}
1,161,15,584,0,0,0.01,0:56:35,{'message': 'reached_goal'}
0,162,16,590,0,0,0.01,0:56:43,{'message': 'reached_goal'}
