,episode,steps,reward,alpha,gamma,epsilon,time
0,120,73,-92,0.1,0.7,0.8,1:57:05
1,121,21,-184,0.1,0.7,0.8,1:57:11
0,122,115,-72,0.1,0.7,0.8,1:57:42
1,123,156,-40,0.1,0.7,0.8,1:58:25
0,124,487,300,0.1,0.7,0.79,2:00:38
1,125,252,52,0.1,0.7,0.79,2:01:47
0,126,500,524,0.1,0.7,0.79,2:04:04
1,127,279,32,0.1,0.7,0.79,2:05:21
0,128,180,-4,0.1,0.7,0.79,2:06:11
1,129,154,-44,0.1,0.7,0.79,2:06:53
0,130,49,-168,0.1,0.7,0.79,2:07:07
1,131,91,-80,0.1,0.7,0.79,2:07:32
0,132,137,-56,0.1,0.7,0.79,2:08:09
1,133,125,-52,0.1,0.7,0.79,2:08:44
0,134,438,200,0.1,0.7,0.79,2:10:44
1,135,231,80,0.1,0.7,0.79,2:11:48
0,136,222,0,0.1,0.7,0.79,2:12:48
1,137,218,44,0.1,0.7,0.78,2:13:49
0,138,241,44,0.1,0.7,0.78,2:14:55
1,139,500,496,0.1,0.7,0.78,2:17:11
0,140,261,72,0.1,0.7,0.78,2:18:23
1,141,325,180,0.1,0.7,0.78,2:19:53
0,142,500,488,0.1,0.7,0.78,2:22:09
1,143,260,100,0.1,0.7,0.78,2:23:20
0,144,500,500,0.1,0.7,0.78,2:25:37
1,145,500,524,0.1,0.7,0.78,2:27:54
0,146,208,0,0.1,0.7,0.78,2:28:51
1,147,475,316,0.1,0.7,0.78,2:31:01
0,148,360,156,0.1,0.7,0.78,2:32:40
1,149,500,524,0.1,0.7,0.78,2:34:57
0,150,500,516,0.1,0.7,0.77,2:37:15
1,151,106,-72,0.1,0.7,0.77,2:37:43
0,152,189,-12,0.1,0.7,0.77,2:38:35
1,153,222,36,0.1,0.7,0.77,2:39:36
0,154,500,456,0.1,0.7,0.77,2:41:53
1,155,500,524,0.1,0.7,0.77,2:44:11
0,156,162,-32,0.1,0.7,0.77,2:44:55
1,157,262,100,0.1,0.7,0.77,2:46:07
0,158,205,36,0.1,0.7,0.77,2:47:03
1,159,433,208,0.1,0.7,0.77,2:49:02
0,160,432,244,0.1,0.7,0.77,2:51:00
1,161,500,512,0.1,0.7,0.77,2:53:18
0,162,190,0,0.1,0.7,0.77,2:54:10
1,163,190,24,0.1,0.7,0.76,2:55:02
0,164,298,108,0.1,0.7,0.76,2:56:24
1,165,233,56,0.1,0.7,0.76,2:57:28
0,166,347,164,0.1,0.7,0.76,2:59:03
1,167,500,504,0.1,0.7,0.76,3:01:20
0,168,500,484,0.1,0.7,0.76,3:03:36
1,169,351,140,0.1,0.7,0.76,3:05:13
0,170,500,460,0.1,0.7,0.76,3:07:30
1,171,500,524,0.1,0.7,0.76,3:09:48
0,172,469,248,0.1,0.7,0.76,3:11:57
1,173,220,28,0.1,0.7,0.76,3:12:57
0,174,294,108,0.1,0.7,0.76,3:14:18
1,175,309,116,0.1,0.7,0.76,3:15:44
0,176,500,488,0.1,0.7,0.75,3:18:02
1,177,256,76,0.1,0.7,0.75,3:19:13
0,178,500,484,0.1,0.7,0.75,3:21:31
1,179,356,140,0.1,0.7,0.75,3:23:10
0,180,500,540,0.1,0.7,0.75,3:25:26
1,181,500,504,0.1,0.7,0.75,3:27:43
0,182,159,-12,0.1,0.7,0.75,3:28:27
1,183,408,160,0.1,0.7,0.75,3:30:18
0,184,356,160,0.1,0.7,0.75,3:31:56
1,185,500,484,0.1,0.7,0.75,3:34:12
0,186,279,104,0.1,0.7,0.75,3:35:29
1,187,500,492,0.1,0.7,0.75,3:37:46
0,188,141,-44,0.1,0.7,0.75,3:38:25
1,189,500,488,0.1,0.7,0.74,3:40:43
